Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeScreenshot(),,,,2023-03-06 16:31:14,2023-03-06 16:31:15,1.072s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-06 16:31:15,2023-03-06 16:31:15,0.280s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-06 16:31:15,2023-03-06 16:31:20,4.462s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-06 16:31:20,2023-03-06 16:31:20,0.000s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-06 16:31:20,2023-03-06 16:31:20,0.001s,PASSED
else,,,,2023-03-06 16:31:20,2023-03-06 16:31:20,0.256s,PASSED
takeScreenshot(),,,,2023-03-06 16:31:20,2023-03-06 16:31:20,0.545s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 2, OPTIONAL)",,,,2023-03-06 16:31:20,2023-03-06 16:31:22,1.223s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:31:22,2023-03-06 16:31:22,0.225s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:31:22,2023-03-06 16:31:23,1.233s,PASSED
delay(5),,,,2023-03-06 16:31:23,2023-03-06 16:31:28,5.006s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:31:28,2023-03-06 16:31:33,4.558s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-06 16:31:33,2023-03-06 16:31:34,0.868s,PASSED
delay(5),,,,2023-03-06 16:31:34,2023-03-06 16:31:39,5.017s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:31:39,2023-03-06 16:31:45,6.797s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-06 16:31:45,2023-03-06 16:31:47,1.367s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 180)",,,,2023-03-06 16:31:47,2023-03-06 16:31:57,10.226s,PASSED
takeScreenshot(),,,,2023-03-06 16:31:57,2023-03-06 16:31:58,0.692s,PASSED
"if (verifyElementExist(findTestObject(""3.Payments/Payment Success page/Button_Share""), 5, CONTINUE_ON_FAILURE))",,,,2023-03-06 16:31:58,2023-03-06 16:31:58,0.557s,PASSED
"tap(findTestObject(""3.Payments/Payment Success page/Button_Back To Payment""), 0)",,,,2023-03-06 16:31:58,2023-03-06 16:31:59,0.350s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:31:59,2023-03-06 16:32:11,12.336s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-06 16:32:11,2023-03-06 16:32:11,0.001s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - Saved Bill Payment,,,,2023-03-06 16:32:11,2023-03-06 16:34:03,1m - 52.441s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:32:11,2023-03-06 16:32:11,0.001s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:32:12,2023-03-06 16:32:40,27.958s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-06 16:32:40,2023-03-06 16:32:41,0.940s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-06 16:32:41,2023-03-06 16:32:43,1.989s,PASSED
